MINE,DEPT_EN_DESC,SO1,SO2,SO3,SO4,SO5,SO6,SO7,SO8,SO9,SO10,SO11,SO12
Agriculture and Agri-Food ,Agriculture and Agri-Food Department ,575028,14573,7799,122657,4924,19317,41070,6283,37448,1900532,0,11092
Agriculture and Agri-Food ,Canadian Dairy Commission,0,0,0,0,0,0,0,0,0,0,0,4086
Agriculture and Agri-Food ,Canadian Food Inspection Agency,575900,19746,1871,75772,10073,12504,18655,0,24115,40562,0,2858
Agriculture and Agri-Food ,Canadian Grain Commission,63858,3798,235,2669,5210,1345,756,0,4501,0,0,0
Atlantic Canada Opportunities Agency ,Atlantic Canada Opportunities Agency Department ,68347,3081,360,8212,2096,309,325,0,686,233185,0,-939
Atlantic Canada Opportunities Agency ,Enterprise Cape Breton Corporation,0,0,0,0,0,0,0,0,0,0,0,60667
Canada Revenue Agency,Canada Revenue Agency,3347811,124946,8865,348088,307364,77487,24143,0,32813,374921,0,2321
Canadian Heritage ,Canadian Heritage Department,177549,2815,8081,15917,2335,940,1861,0,439,1042867,0,1026
Canadian Heritage ,Canada Council for the Arts,0,0,0,0,0,0,0,0,0,0,0,181368
Canadian Heritage ,Canadian Broadcasting Corporation,0,0,0,0,0,0,0,0,0,0,0,1106519
Canadian Heritage ,Canadian Museum for Human Rights,0,0,0,0,0,0,0,0,0,0,0,56936
Canadian Heritage ,Canadian Museum of Civilization,0,0,0,0,0,0,0,0,0,0,0,64365
Canadian Heritage ,Canadian Museum of Immigration at Pier 21,0,0,0,0,0,0,0,0,0,0,0,9976
Canadian Heritage ,Canadian Museum of Nature,0,0,0,0,0,0,0,0,0,0,0,34370
Canadian Heritage ,Canadian Radio-television and Telecommunications Commission,45458,1712,1033,5365,647,706,309,0,1221,0,0,7
Canadian Heritage ,Library and Archives of Canada,88727,860,166,6033,1839,901,807,11926,7590,35,0,291
Canadian Heritage ,National Arts Centre Corporation,0,0,0,0,0,0,0,0,0,0,0,35601
Canadian Heritage ,National Battlefields Commission,4140,127,328,798,75,517,789,143,471,0,0,2235
Canadian Heritage ,National Film Board,41784,3242,1316,12294,8657,1236,879,0,2707,192,0,737
Canadian Heritage ,National Gallery of Canada,0,0,0,0,0,0,0,0,0,0,0,48831
Canadian Heritage ,National Museum of Science and Technology,0,0,0,0,0,0,0,0,0,0,0,31517
Canadian Heritage ,Public Service Commission,91246,655,234,8878,1969,102,336,0,427,0,0,461
Canadian Heritage ,Public Service Labour Relations Board,9117,600,83,2777,561,31,134,0,475,0,0,0
Canadian Heritage ,Public Service Staffing Tribunal,4156,144,43,568,179,1,14,0,5,0,0,-1
Canadian Heritage ,Registry of the Public Servants Disclosure Protection Tribunal,1153,20,5,264,90,53,32,0,43,0,0,0
Canadian Heritage ,Telefilm Canada,0,0,0,0,0,0,0,0,0,0,0,102968
Citizenship and Immigration ,Citizenship and Immigration Department,409245,18544,7354,111446,9922,2869,6235,0,8484,933202,0,16025
Citizenship and Immigration ,Immigration and Refugee Board,101558,3160,565,19758,1471,3846,657,0,3000,0,0,243
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,41954,705,330,4478,619,35,162,0,596,247509,0,41
Environment ,Environment Department,625695,36625,3849,122307,24322,18574,37953,1522,48732,127684,0,8385
Environment ,Canadian Environmental Assessment Agency,21298,1271,324,4733,316,3,154,0,414,2239,0,0
Environment ,National Round Table on the Environment and the Economy,4850,93,92,368,21,1,5,0,3,0,0,10
Environment ,Parks Canada Agency,387926,12719,8844,68780,14390,52377,36442,2351,15475,13737,0,17507
Finance ,Finance Department,92443,2780,16069,16819,1900,45,131599,0,1059,57358967,25982207,36851
Finance ,Auditor General,77308,3749,622,4949,1075,189,322,0,814,0,0,-1
Finance ,Canadian International Trade Tribunal,8701,204,33,554,124,1122,74,0,691,0,0,-2
Finance ,Financial Consumer Agency of Canada,7750,400,364,3184,874,1,56,0,203,0,0,59
Finance ,Financial Transactions and Reports Analysis Centre of Canada ,37838,1139,185,4165,6246,1682,452,0,1985,0,0,302
Finance ,Office of the Superintendent of Financial Institutions,94657,4365,1052,12461,9070,352,455,1558,7625,0,0,-2955
Finance ,PPP Canada Inc.,0,0,0,0,0,0,0,0,0,0,0,287450
Fisheries and Oceans,Fisheries and Oceans,987298,58867,2326,213341,16286,159674,102527,19742,151851,88186,0,18436
Foreign Affairs and International Trade ,Foreign Affairs and International Trade Department,1114315,143792,12791,267665,200677,31955,77241,174610,50479,672515,0,4838
Foreign Affairs and International Trade ,Canadian Commercial Corporation,0,0,0,0,0,0,0,0,0,0,0,15482
Foreign Affairs and International Trade ,Canadian International Development Agency,192093,6973,71,15081,2368,2935,861,0,546,3132702,0,55927
