FSCL_YR,MINC,MINE,PADN,DEPT_EN_DESC,ROBJ_CD,ROBJ_EN_NM,PRJCT_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,,12569029,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Inter-American Institute for Cooperation on Agriculture San Jos̩ Costa Rica,0,110692
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Cameron & Sons Kelowna BC,0,132900
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Commercial Cleaning Services St Catharines Ont,0,122502
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,D L Sanitation Inc Victoriaville Que,0,110266
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Deloitte  & Touche LLP Toronto Ont,0,155791
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Ernst & Young London United Kingdom,0,353644
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Global Trade Information Services Inc Columbia SC USA,0,115690
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Imperial Cleaner Ltd Wiltshire United Kingdom,0,144810
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Infrastructure Ontario Toronto Ont,0,214183
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Ontario Racing Commission Toronto Ont,0,264000
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Maxxam Analytics International Corp Mississauga Ont,0,2437252
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Merit Building Cleaning Saskatoon Sask,0,230549
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Marcil Lavall̩e Ottawa Ont,0,133304
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Streak-Free Janitorial Lethbridge Alta,0,322321
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Service Star Building Cleaning Inc Ottawa Ont,0,663089
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Sprucegrove Building Cleaners Dieppe NB,0,211157
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Samson & Associates Gatineau Que,0,220746
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Public Works and Government Services Canada Gatineau Que,0,2335709
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,Racing Forensics Inc Markham Ont,0,885611
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,"Service payments under $100,000 (1,671 payees)",0,3265739
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,,28264597,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,Knowledge Circle Ottawa Ont,0,150994
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,Fast Forward French Ottawa Ont,0,151951
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,Canada School of Public Service Ottawa Ont,0,985227
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,Cartier Language School Inc Ottawa Ont,0,106658
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,"Service payments under $100,000 (2,192 payees)",0,7006216
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Transport Canada Ottawa Ont,0,519550
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Statistics Canada Ottawa Ont,0,6005163
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Deloitte & Touche LLP Toronto Ont,0,1698540
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Coretracks Inc Ottawa Ont,0,564369
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Dalian Enterprises Inc Ottawa Ont,0,142220
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,CGI Group Inc Regina Sask,0,1622043
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Calian Technologies Ltd Ottawa Ont,0,964883
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Cache Consulting Corp Ottawa Ont,0,1072025
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Bell Canada Montr̩al Que,0,451100
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,45,Health and Welfare Services,"Service payments under $100,000 (40 payees)",0,25115
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,,30869198,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,ADGA Group Consultants Inc Ottawa Ont,0,452585
