MINE,DEPT_EN_DESC,ROBJ_EN_NM,AGRG_PYMT_AMT
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,110692
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,132900
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,122502
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,110266
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,155791
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,353644
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,115690
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,144810
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,214183
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,264000
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,2437252
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,230549
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,133304
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,322321
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,663089
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,211157
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,220746
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,2335709
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,885611
Agriculture and Agri-Food,Agriculture and Agri-Food,Training and Educational Services,3265739
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Training and Educational Services,150994
Agriculture and Agri-Food,Agriculture and Agri-Food,Training and Educational Services,151951
Agriculture and Agri-Food,Agriculture and Agri-Food,Training and Educational Services,985227
Agriculture and Agri-Food,Agriculture and Agri-Food,Training and Educational Services,106658
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,7006216
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,519550
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,6005163
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,1698540
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,564369
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,142220
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,1622043
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,964883
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,1072025
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,451100
Agriculture and Agri-Food,Agriculture and Agri-Food,Health and Welfare Services,25115
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,452585
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,1032132
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,105822
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,190400
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,112740
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,306622
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,9696753
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,196698
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,2004874
Agriculture and Agri-Food,Agriculture and Agri-Food,Health and Welfare Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,162209
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Engineering and Architectural Services,103140
Agriculture and Agri-Food,Agriculture and Agri-Food,Business Services,3404813
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,140612
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,210777
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,221962
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,121075
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,293841
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,1983012
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,431109
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,1422140
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,107612
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,311625
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,124939
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,333626
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,6935827
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,264147
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,218993
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,758279
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,343107
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,199880
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,108655
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,100450
Agriculture and Agri-Food,Agriculture and Agri-Food,Other Services,102000
Agriculture and Agri-Food,Agriculture and Agri-Food,Scientific and Research Services,645105
Agriculture and Agri-Food,Agriculture and Agri-Food,Scientific and Research Services,107512
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,245724
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,1395426
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,114400
Agriculture and Agri-Food,Agriculture and Agri-Food,Scientific and Research Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Protection Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Protection Services,2741344
Agriculture and Agri-Food,Agriculture and Agri-Food,Protection Services,189665
Agriculture and Agri-Food,Agriculture and Agri-Food,Protection Services,105185
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,340219
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,114500
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,527208
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,2338836
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,544604
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,560819
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,502774
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,8395186
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,179663
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,162378
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,180285
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,121380
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,509700
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,172522
Agriculture and Agri-Food,Agriculture and Agri-Food,Interpretation and Translation Services,179664
Agriculture and Agri-Food,Agriculture and Agri-Food,Interpretation and Translation Services,154574
Agriculture and Agri-Food,Agriculture and Agri-Food,Interpretation and Translation Services,236402
Agriculture and Agri-Food,Agriculture and Agri-Food,Legal Services,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Legal Services,3314476
Agriculture and Agri-Food,Agriculture and Agri-Food,Legal Services,112888
Agriculture and Agri-Food,Agriculture and Agri-Food,Legal Services,531770
Agriculture and Agri-Food,Agriculture and Agri-Food,Management Consulting,0
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,597364
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,370119
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,253846
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,294600
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,523233
Agriculture and Agri-Food,Agriculture and Agri-Food,Informatics Services,164423
