MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,AGRG_PYMT_AMT,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,74008679,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,242296,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,167978,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,1500000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,20696011,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,456364,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,124275,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,190871,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,106222,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,258009098,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,105000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,150000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,162631,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,385900,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,201225,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,2060378,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,118949,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,1580861,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,236010897,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,488216,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,1300068,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,918500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,815584,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,251062,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,360000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,198377,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,238576,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,259903,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,24109886,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,24246552,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,111387,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,114302,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,107867,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,798361,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,2287873,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,131101,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,111558,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,150929,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,989955,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,600000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,940272,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,179457,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,1000000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,157140,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,110343,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,225044,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,187500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,7506592,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,208550,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,148097,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,335451,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,519411,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,113530,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,212668,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,164036,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,208335,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,104485,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,167523,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,5000000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,130157,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1489500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,240000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,312000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,424141,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,100000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,145833,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1652840,,
